Cat_id,Week,Day,hour,Active,Lying,Sitting,Standing,Grooming,Littering,Eating,Scratching,Temperature,Humidity,Wind_Speed,C_Rain
Cho,Week1,Day1,0,0,3247,89,77,160,0,26,1,14.5,58,0,0
Cho,Week1,Day1,1,0,3137,372,61,22,0,8,0,13.9,59,0,0
Cho,Week1,Day1,2,1,1544,1970,41,37,0,7,0,13.5,59,0,0
Cho,Week1,Day1,3,0,2844,638,55,51,0,12,0,13.1,60,0,0
Cho,Week1,Day1,4,0,2537,1025,1,27,0,10,0,12.7,64,0,0
Cho,Week1,Day1,5,42,2782,210,220,240,2,93,11,12.8,65,0,0
Cho,Week1,Day1,6,32,894,1457,183,743,3,254,34,13.4,58,0,0
Cho,Week1,Day1,7,42,1915,991,239,278,0,133,2,17.2,52,0.4,0
Cho,Week1,Day1,8,285,745,1022,587,578,8,347,28,19.9,53,1.8,0
Cho,Week1,Day1,9,13,2731,217,333,255,1,50,0,19.6,51,1.3,0
Cho,Week1,Day1,10,201,1979,235,400,500,5,258,22,20.9,47,1.3,0
Cho,Week1,Day1,11,125,1562,518,522,379,3,459,32,21.9,46,1.8,0
Cho,Week1,Day1,12,61,2304,403,305,250,0,270,7,22.4,44,1.8,0
Cho,Week1,Day1,13,187,828,1215,519,517,3,282,49,23.2,45,1.8,0
Cho,Week1,Day1,14,389,1358,732,326,309,0,471,15,23.4,43,1.8,0
Cho,Week1,Day1,15,2,3416,62,70,20,0,30,0,24.4,41,1.8,0
Cho,Week1,Day1,16,82,1453,1114,332,460,0,151,8,24.6,36,1.8,0
Cho,Week1,Day1,17,26,3047,305,98,96,0,28,0,24.8,37,1.3,0
Cho,Week1,Day1,18,18,2750,566,102,124,0,30,10,24.6,39,0.9,0
Cho,Week1,Day1,19,45,1482,1389,173,429,1,60,21,23.5,47,1.3,0
Cho,Week1,Day1,20,232,1390,599,431,500,7,422,19,19.5,54,1.8,0
Cho,Week1,Day1,21,1,2294,1068,106,88,0,43,0,17.4,56,0.4,0
Cho,Week1,Day1,22,5,3408,75,45,53,0,12,2,16.4,56,0,0
Cho,Week1,Day1,23,0,3518,20,36,7,0,19,0,15.6,56,0,0
Cho,Week1,Day2,0,1,1030,2544,5,19,0,0,1,18.1,58,0,0
Cho,Week1,Day2,1,0,159,3373,42,25,0,0,1,18.1,58,0,0
Cho,Week1,Day2,2,0,3454,96,16,28,0,5,1,17.9,61,0,0
Cho,Week1,Day2,3,2,3249,246,50,53,0,0,0,17.7,61,0,0
Cho,Week1,Day2,4,4,2933,86,148,376,0,53,0,17.1,61,0,0
Cho,Week1,Day2,5,2,1724,1575,83,183,0,33,0,16.3,62,0,0
Cho,Week1,Day2,6,11,2783,517,88,178,0,21,2,16.7,55,0,0
Cho,Week1,Day2,7,135,576,1456,601,362,38,372,60,19.6,53,0.9,0
Cho,Week1,Day2,8,151,1102,1162,476,372,0,333,4,21,52,1.3,0
Cho,Week1,Day2,9,139,1088,1073,459,638,1,194,8,20.7,52,2.7,0
Cho,Week1,Day2,10,104,1463,989,324,427,15,260,18,21.8,50,2.7,0
Cho,Week1,Day2,11,105,1059,586,461,696,0,693,0,23.6,48,2.7,0
Cho,Week1,Day2,12,10,3033,32,146,326,0,49,4,25.2,45,2.7,0
Cho,Week1,Day2,13,2,3481,41,41,27,0,8,0,26.1,45,2.7,0
Cho,Week1,Day2,14,61,2757,179,198,220,0,180,5,26.2,47,2.7,0
Cho,Week1,Day2,15,38,2609,398,189,55,3,306,2,26,46,2.2,0
Cho,Week1,Day2,16,29,2036,1112,130,111,0,181,1,26.3,46,1.8,0
Cho,Week1,Day2,17,5,2010,1042,218,285,2,36,2,26.7,46,0.9,0.4
Cho,Week1,Day2,18,1,2956,484,59,96,0,2,2,25,55,0.4,0
Cho,Week1,Day2,19,404,952,496,549,639,0,525,35,21.8,56,0.4,0
Cho,Week1,Day2,20,47,1147,1620,225,215,0,346,0,21.2,56,0,0
Cho,Week1,Day2,21,37,1254,1514,407,269,0,118,1,20.3,59,0,0.3
Cho,Week1,Day2,22,0,1489,2057,17,33,0,3,1,19.7,58,0,0.3
Cho,Week1,Day2,23,1,795,2471,157,164,0,6,6,18.8,57,0,0.1
Cho,Week1,Day3,0,4,3274,17,107,131,0,67,0,17.4,56,1.8,0
