Cat_id,Timestamp,Week,Day,hour,Active,Lying,Sitting,Standing,Grooming,Littering,Eating,Scratching,Total,propActive,propLying,propSitting,propStanding,propGrooming,propLittering,propEating,propScratching,Barometer,Temperature,C_Tmean,Heat_Index,THW_Index,Humidity,C_RHmean,Wind_Speed,C_Wind_Speed,C_Rain
Cho,2022-12-13T00:00:00Z,Week1,Day1,0,0,3247,89,77,160,0,26,1,3600,0,0.901944444444444,0.0247222222222222,0.0213888888888889,0.0444444444444444,0,0.00722222222222222,0.000277777777777778,1011.2,14.5,13,13.7,13.7,58,95,0,0.6,0
Cho,2022-12-13T01:00:00Z,Week1,Day1,1,0,3137,372,61,22,0,8,0,3600,0,0.871388888888889,0.103333333333333,0.0169444444444444,0.00611111111111111,0,0.00222222222222222,0,1010.9,13.9,12.3,13.1,13.1,59,96,0,0.2,0
Cho,2022-12-13T02:00:00Z,Week1,Day1,2,1,1544,1970,41,37,0,7,0,3600,0.000277777777777778,0.428888888888889,0.547222222222222,0.0113888888888889,0.0102777777777778,0,0.00194444444444444,0,1010.5,13.5,12,12.7,12.7,59,97,0,0.7,0
Cho,2022-12-13T03:00:00Z,Week1,Day1,3,0,2844,638,55,51,0,12,0,3600,0,0.79,0.177222222222222,0.0152777777777778,0.0141666666666667,0,0.00333333333333333,0,1010.2,13.1,11.6,12.3,12.3,60,97,0,0.3,0
Cho,2022-12-13T04:00:00Z,Week1,Day1,4,0,2537,1025,1,27,0,10,0,3600,0,0.704722222222222,0.284722222222222,0.000277777777777778,0.0075,0,0.00277777777777778,0,1010.2,12.7,11.8,12,12,64,98,0,0.5,0
Cho,2022-12-13T05:00:00Z,Week1,Day1,5,42,2782,210,220,240,2,93,11,3600,0.0116666666666667,0.772777777777778,0.0583333333333333,0.0611111111111111,0.0666666666666667,0.000555555555555556,0.0258333333333333,0.00305555555555556,1010.2,12.8,12.3,12.2,12.2,65,98,0,0.6,0
Cho,2022-12-13T06:00:00Z,Week1,Day1,6,32,894,1457,183,743,3,254,34,3600,0.00888888888888889,0.248333333333333,0.404722222222222,0.0508333333333333,0.206388888888889,0.000833333333333333,0.0705555555555556,0.00944444444444444,1010.4,13.4,16.3,12.6,12.6,58,87,0,2.5,0
Cho,2022-12-13T07:00:00Z,Week1,Day1,7,42,1915,991,239,278,0,133,2,3600,0.0116666666666667,0.531944444444445,0.275277777777778,0.0663888888888889,0.0772222222222222,0,0.0369444444444444,0.000555555555555556,1010.5,17.2,18.9,16.3,16.3,52,75,0.4,4.5,0
Cho,2022-12-13T08:00:00Z,Week1,Day1,8,285,745,1022,587,578,8,347,28,3600,0.0791666666666667,0.206944444444444,0.283888888888889,0.163055555555556,0.160555555555556,0.00222222222222222,0.0963888888888889,0.00777777777777778,1010.1,19.9,20.5,19.3,19.3,53,73,1.8,4.8,0
Cho,2022-12-12T09:00:00Z,Week1,Day1,9,13,2731,217,333,255,1,50,0,3600,0.00361111111111111,0.758611111111111,0.0602777777777778,0.0925,0.0708333333333333,0.000277777777777778,0.0138888888888889,0,1009.7,19.6,20,18.9,18.9,51,70,1.3,3.9,0
